url,Product link,Thumb image,Brand value,Product value,Strike value,Price value,Discount value,Sizes value,Selectasize values
http://www.myntra.com/men-accessories,"Adidas Originals\nUnisex Black CL PERF Backpack\nRs. 3,599Rs. 2,159(40% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1504633/2016/9/27/11474976301741-Adidas-Originals-Unisex-Black-CL-PERF-Backpack-8321474976301435-1_mini.jpg",Adidas Originals,Unisex Black CL PERF Backpack,"Rs. 3,599","Rs. 2,159",(40% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Scarleti\nUnisex Set of 2 Belts\nRs. 599Rs. 299(50% off)\nSizes: 26, 28, 30, 32, 34, 36, 38, 40, 42","http://assets.myntassets.com/h_240,q_95,w_180/v1/images/style/properties/Scarleti-Unisex-Set-of-2-Belts_9c5a8d7aa2e931e526563acc18ef5bc1_images_mini.jpg",Scarleti,Unisex Set of 2 Belts,Rs. 599,Rs. 299,(50% off),"Sizes: 26, 28, 30, 32, 34, 36, 38, 40, 42",26; 28; 30; 32; 34; 36; 38; 40; 42
http://www.myntra.com/men-accessories,"Tommy Hilfiger\nUnisex Red Biker Club Stapleton Backpack\nRs. 1,750Rs. 1,225(30% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/601760/2016/7/28/11469707665213-Tommy-Hilfiger-Unisex-Red-Biker-Club-Stapleton-Backpack-6231469707664947-1_mini.jpg",Tommy Hilfiger,Unisex Red Biker Club Stapleton Backpack,"Rs. 1,750","Rs. 1,225",(30% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Sonata\nMen Black Superfiber Anadigital Chronograph Watch NH77028PP03J\nRs. 2,299Rs. 1,379(40% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1498257/2016/9/27/11474972862035-Sonata-Men-Black-Superfiber-Anadigital-Chronograph-Watch-NH77028PP03J-7531474972861844-1_mini.jpg",Sonata,Men Black Superfiber Anadigital Chronograph Watch NH77028PP03J,"Rs. 2,299","Rs. 1,379",(40% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Skybags\nUnisex Navy Dunk 01 Laptop Backpack\nRs. 2,490Rs. 1,494(40% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1484012/2016/9/30/11475235001765-Skybags-Unisex-Navy-Dunk-01-Laptop-Backpack-8991475235001428-1_mini.jpg",Skybags,Unisex Navy Dunk 01 Laptop Backpack,"Rs. 2,490","Rs. 1,494",(40% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Daniel Klein\nExclusive Men Gunmetal-Toned Dial Watch DK11042-5\nRs. 6,850Rs. 3,425(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1386388/2016/6/29/11467198929896-Daniel-Klein-Exclusive-Men-Gunmetal-Toned-Dial-Watch-DK11042-5-9251467198929581-1_mini.jpg",Daniel Klein,Exclusive Men Gunmetal-Toned Dial Watch DK11042-5,"Rs. 6,850","Rs. 3,425",(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Pronto\nUnisex Navy Miami Trolley 65 Duffle Bag\nRs. 3,690Rs. 1,476(60% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1062268/2016/6/14/11465883637626-Pronto-Unisex-Navy-Miami-Trolley-65-Duffle-Bag-8081465883637288-1_mini.jpg",Pronto,Unisex Navy Miami Trolley 65 Duffle Bag,"Rs. 3,690","Rs. 1,476",(60% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Wildcraft\nUnisex Black & Red Printed Rucksack\nRs. 2,999Rs. 1,649(45% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1468208/2016/9/28/11475059085633-Wildcraft-Unisex-Black--Red-Rucksack-6411475059085385-1_mini.jpg",Wildcraft,Unisex Black & Red Printed Rucksack,"Rs. 2,999","Rs. 1,649",(45% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Roadster\nMen Olive Green Belt\nRs. 449Rs. 224(50% off)\nSizes: 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1419480/2016/7/25/11469426769983-Roadster-Men-Olive-Green-Belt-6721469426769871-1_mini.jpg",Roadster,Men Olive Green Belt,Rs. 449,Rs. 224,(50% off),"Sizes: 32, 34, 36",32; 34; 36
http://www.myntra.com/men-accessories,"Nucleus\nMen Black Dial Watch NLG2BB\nRs. 6,500Rs. 5,200(20% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1444836/2016/8/26/11472192421017-Nucleus-Men-Black-Dial-Watch-NLG2BB-2771472192420889-1_mini.jpg",Nucleus,Men Black Dial Watch NLG2BB,"Rs. 6,500","Rs. 5,200",(20% off),Sizes: Onesize,Onesize
