url,Product link,Thumb image,Brand value,Product value,Strike value,Price value,Discount value,Sizes value,Selectasize value
http://www.myntra.com/men-watches-wearables-menu,"Roadster\nRDSTR Men Black Dial Watch MFB-PN-Y-S9559\nRs. 3,499Rs. 1,749(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1154766/2016/3/31/11459404091846-RDSTR-Men-Black-Dial-Watch-MFB-PN-Y-S9559-5431459404090865-1_mini.jpg",Roadster,RDSTR Men Black Dial Watch MFB-PN-Y-S9559,"Rs. 3,499","Rs. 1,749",(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Mast & Harbour\nUnisex White Analogue Watch MFB-PN-WTH-S9538-2\nRs. 2,999Rs. 1,799(40% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1461460/2016/10/1/11475305709408-Mast--Harbour-Unisex-Navy-Analogue-Watch-MFB-PN-WTH-S9538-1-3281475305709270-1_mini.jpg",Mast & Harbour,Unisex White Analogue Watch MFB-PN-WTH-S9538-2,"Rs. 2,999","Rs. 1,799",(40% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"DIESEL\nMen Beige Dial Watch DZ4310I\nRs. 13,295Rs. 7,977(40% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1505847/2016/9/24/11474698323583-DIESEL-Men-Watches-4141474698323462-1_mini.jpg",DIESEL,Men Beige Dial Watch DZ4310I,"Rs. 13,295","Rs. 7,977",(40% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Daniel Klein\nExclusive Men Navy Dial Watch DK10996-4\nRs. 4,650Rs. 2,325(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1386321/2016/6/23/11466677329169-Daniel-Klein-Exclusive-Men-Navy-Dial-Watch-DK10996-4-3291466677328915-1_mini.jpg",Daniel Klein,Exclusive Men Navy Dial Watch DK10996-4,"Rs. 4,650","Rs. 2,325",(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Roadster\nMen Grey Dial Watch RD8-A\nRs. 2,299Rs. 1,149(50% off)\nSizes: ONESIZE","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1487817/2016/10/18/11476775189727-Roadster-Men-Grey-Dial-Watch-RD8-A-3191476775189462-1_mini.jpg",Roadster,Men Grey Dial Watch RD8-A,"Rs. 2,299","Rs. 1,149",(50% off),Sizes: ONESIZE,ONESIZE
http://www.myntra.com/men-watches-wearables-menu,"Titan\nMen Grey Dial Chronograph Watch 90052QL01J\nRs. 8,995Rs. 4,497(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1493345/2016/9/22/11474541157826-Titan-Men-Grey-Dial-Chronograph-Watch-90052QL01J-2961474541157741-1_mini.jpg",Titan,Men Grey Dial Chronograph Watch 90052QL01J,"Rs. 8,995","Rs. 4,497",(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Daniel Klein\nPremium Men Blue Dial Watch DK11076-7\nRs. 3,250Rs. 1,625(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1386417/2016/6/29/11467199270001-Daniel-Klein-Premium-Men-Blue-Dial-Watch-DK11076-7-4421467199269751-1_mini.jpg",Daniel Klein,Premium Men Blue Dial Watch DK11076-7,"Rs. 3,250","Rs. 1,625",(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Camerii\nMen White Dial Watch WM147\nRs. 1,199Rs. 479(60% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1028277/2016/6/13/11465803261924-Camerii-Men-White-Dial-Watch-WM147-9921465803261843-1_mini.jpg",Camerii,Men White Dial Watch WM147,"Rs. 1,199",Rs. 479,(60% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Roadster\nMen Brown Dial Watch MFBRD22-D\nRs. 2,499Rs. 1,249(50% off)\nSizes: ONESIZE","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1548741/2016/10/13/11476354910267-Roadster-Men-Brown-Dial-Watch-MFBRD22-D-3861476354910029-1_mini.jpg",Roadster,Men Brown Dial Watch MFBRD22-D,"Rs. 2,499","Rs. 1,249",(50% off),Sizes: ONESIZE,ONESIZE
http://www.myntra.com/men-watches-wearables-menu,"Fastrack\nMen Black Watch NB9332pp02\nRs. 1,495\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/images/style/properties/Fastrack-Men-Black-Watch_dc68c8d8d253692be86a7b4cfc6455d8_images_mini.jpg",Fastrack,Men Black Watch NB9332pp02,,"Rs. 1,495",,Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"DIESEL\nMen Gunmetal-Toned Analogue Watch DZ1692I\nRs. 12,295Rs. 7,377(40% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1505806/2016/10/15/11476516945441-DIESEL-Men-Gunmetal-Toned-Analogue-Watch-DZ1692I-9121476516945173-1_mini.jpg",DIESEL,Men Gunmetal-Toned Analogue Watch DZ1692I,"Rs. 12,295","Rs. 7,377",(40% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Honor\nUnisex Black Bluetooth Smart Watch B0\nRs. 5,499Rs. 4,949(10% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1147939/2016/1/20/11453270358230-Honor-Unisex-Smart-Bands-3971453270358027-1_mini.jpg",Honor,Unisex Black Bluetooth Smart Watch B0,"Rs. 5,499","Rs. 4,949",(10% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Roadster\nMen Taupe Dial Watch RD22-A\nRs. 2,199Rs. 1,319(40% off)\nSizes: ONESIZE","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1487841/2016/10/28/11477652580480-Roadster-Men-Taupe-Dial-Watch-RD22-A-2751477652580242-1_mini.jpg",Roadster,Men Taupe Dial Watch RD22-A,"Rs. 2,199","Rs. 1,319",(40% off),Sizes: ONESIZE,ONESIZE
http://www.myntra.com/men-watches-wearables-menu,"Daniel Klein\nExclusive Men Silver-Toned Dial Watch DK10938-3\nRs. 5,450Rs. 2,725(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1506774/2016/10/15/11476523776836-Daniel-Klein-Exclusive-Men-Silver-Toned-Dial-Watch-DK10938-3-6231476523776559-1_mini.jpg",Daniel Klein,Exclusive Men Silver-Toned Dial Watch DK10938-3,"Rs. 5,450","Rs. 2,725",(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Titan\nMen Black Dial Watch 90025SL02J\nRs. 5,995Rs. 2,997(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1493340/2016/9/14/11473847398848-Titan-Men-Watches-6741473847398747-1_mini.jpg",Titan,Men Black Dial Watch 90025SL02J,"Rs. 5,995","Rs. 2,997",(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"CASIO\nEDIFICE EFR-547BKG-1AVUDF\nRs. 11,995\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/821543/2016/2/12/11455276294607-Casio-Edifice-Men-Black-Chronograph-Dial-Watch-EX253-411455276294067-1_mini.jpg",CASIO,EDIFICE EFR-547BKG-1AVUDF,,"Rs. 11,995",,Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Camerii\nMen Grey Dial Watch WM177\nRs. 1,299Rs. 519(60% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1028292/2016/7/14/11468481145732-Camerii-Men-Grey-Dial-Watch-WM177-9531468481145424-1_mini.jpg",Camerii,Men Grey Dial Watch WM177,"Rs. 1,299",Rs. 519,(60% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"CASIO\nG-SHOCK G444 GA-1000FC-1ADR\nRs. 13,995\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/image/style/properties/251112/Casio-G-Shock-Men-Black-Analogue--Digital-Watch-G444_1_e7926682390e0c0ca29f58cbbb2511f2_mini.jpg",CASIO,G-SHOCK G444 GA-1000FC-1ADR,,"Rs. 13,995",,Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Titan\nMen Red Dial Watch 9490SP02J\nRs. 4,995Rs. 2,497(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1493322/2016/9/14/11473847052378-Titan-Men-Watches-7101473847052310-1_mini.jpg",Titan,Men Red Dial Watch 9490SP02J,"Rs. 4,995","Rs. 2,497",(50% off),Sizes: Onesize,Onesize
