url,Product link,Thumb image,Brand value,Product value,Strike value,Price value,Discount value,Sizes value,Selectasize values
http://www.myntra.com/men-footwear,"Roadster\nMen Black Slip-Ons\nRs. 1,699Rs. 1,019(40% off)\nSizes: 6, 7, 8, 9, 10, 11","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1095374/2016/4/26/11461669644657-Roadster-Men-Black-Loafers-5251461669644162-1_mini.jpg",Roadster,Men Black Slip-Ons,"Rs. 1,699","Rs. 1,019",(40% off),"Sizes: 6, 7, 8, 9, 10, 11",6; 7; 8; 9; 10; 11
http://www.myntra.com/men-footwear,"HRX by Hrithik Roshan\nMen White & Black Sneakers\nRs. 3,499Rs. 2,449(30% off)\nSizes: 7, 8, 9, 10, 11","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1360953/2016/8/11/11470899103048-HRX-by-Hrithik-Roshan-Men-White--Black-Sneakers-5691470899102779-1_mini.jpg",HRX by Hrithik Roshan,Men White & Black Sneakers,"Rs. 3,499","Rs. 2,449",(30% off),"Sizes: 7, 8, 9, 10, 11",7; 8; 9; 10; 11
http://www.myntra.com/men-footwear,"Adidas NEO\nMen Navy Solid Sneakers\nRs. 3,599Rs. 2,159(40% off)\nSizes: 6, 7, 8, 9, 10, 11","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1525144/2016/10/1/11475316616693-Adidas-NEO-Men-Navy-Blue-Solid-Regular-Sneakers-801475316616559-1_mini.jpg",Adidas NEO,Men Navy Solid Sneakers,"Rs. 3,599","Rs. 2,159",(40% off),"Sizes: 6, 7, 8, 9, 10, 11",6; 7; 8; 9; 10; 11
http://www.myntra.com/men-footwear,"Roadster\nMen White Sneakers\nRs. 2,099Rs. 1,679(20% off)\nSizes: 7, 8, 9, 10, 11","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1341635/2016/5/20/11463720023765-Roadster-Men-Casual-Shoes-5461463720023565-1_mini.jpg",Roadster,Men White Sneakers,"Rs. 2,099","Rs. 1,679",(20% off),"Sizes: 7, 8, 9, 10, 11",7; 8; 9; 10; 11
http://www.myntra.com/men-footwear,"Reebok\nMen Black Super Lite 2.0 Running Shoes\nRs. 3,299Rs. 1,979(40% off)\nSizes: 7, 8, 9, 10, 11","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1433250/2016/8/8/11470638021449-Reebok-Men-Black-Super-Lite-20-Running-Shoes-6271470638021231-1_mini.jpg",Reebok,Men Black Super Lite 2.0 Running Shoes,"Rs. 3,299","Rs. 1,979",(40% off),"Sizes: 7, 8, 9, 10, 11",7; 8; 9; 10; 11
http://www.myntra.com/men-footwear,"United Colors of Benetton\nMen Navy Slip-On Sneakers\nRs. 2,299Rs. 1,494(35% off)\nSizes: 6, 7, 8, 9, 10","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1550336/2016/9/30/11475231242847-United-Colors-of-Benetton-Men-Navy-Blue-Solid-Regular-Slip-On-Sneakers-8731475231243206-1_mini.jpg",United Colors of Benetton,Men Navy Slip-On Sneakers,"Rs. 2,299","Rs. 1,494",(35% off),"Sizes: 6, 7, 8, 9, 10",6; 7; 8; 9; 10
http://www.myntra.com/men-footwear,"Antony Morato\nMen Black Perforated Pig Leather Sneakers\nRs. 11,999Rs. 8,399(30% off)\nSizes: 5, 6, 7, 8, 9, 10","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1425239/2016/8/2/11470126157976-Antony-Morato-Men-Casual-Shoes-3491470126157830-1_mini.jpg",Antony Morato,Men Black Perforated Pig Leather Sneakers,"Rs. 11,999","Rs. 8,399",(30% off),"Sizes: 5, 6, 7, 8, 9, 10",5; 6; 7; 8; 9; 10
http://www.myntra.com/men-footwear,"Adidas NEO\nMen Black Advantage Clean Sneakers\nRs. 3,599Rs. 2,159(40% off)\nSizes: 6, 7, 8, 9, 10, 11","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1461310/2016/9/1/11472712587967-Adidas-NEO-Men-Black-Solid-Regular-Sneakers-1831472712587789-1_mini.jpg",Adidas NEO,Men Black Advantage Clean Sneakers,"Rs. 3,599","Rs. 2,159",(40% off),"Sizes: 6, 7, 8, 9, 10, 11",6; 7; 8; 9; 10; 11
http://www.myntra.com/men-footwear,"Adidas\nMen Silver-Toned ADIRAY Running Shoes\nRs. 2,899\nSizes: 6, 7, 8, 9, 10, 11, 12","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1193769/2016/2/16/11455626185233-Adidas-Men-Silver-Toned-Adiray-Running-Shoes-3451455626184890-1_mini.jpg",Adidas,Men Silver-Toned ADIRAY Running Shoes,,"Rs. 2,899",,"Sizes: 6, 7, 8, 9, 10, 11, 12",6; 7; 8; 9; 10; 11; 12
http://www.myntra.com/men-footwear,"Nike\nMen Grey FS Lite Run 3 Running Shoes\nRs. 6,995Rs. 4,197(40% off)\nSizes: 5, 6, 7, 8, 9, 10, 11","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1420934/2016/8/11/11470919336024-Nike-Men-Grey-FS-Lite-Run-3-Running-Shoes-7141470919335505-1_mini.jpg",Nike,Men Grey FS Lite Run 3 Running Shoes,"Rs. 6,995","Rs. 4,197",(40% off),"Sizes: 5, 6, 7, 8, 9, 10, 11",5; 6; 7; 8; 9; 10; 11
http://www.myntra.com/men-footwear,"Red Tape\nMen Black Genuine Leather Derbys\nRs. 3,995Rs. 1,598(60% off)\nSizes: 6, 7, 8, 9, 10, 11","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1258649/2016/3/30/11459321502139-Red-Tape-Men-Black-Genuine-Leather-Formal-Shoes-4831459321501531-1_mini.jpg",Red Tape,Men Black Genuine Leather Derbys,"Rs. 3,995","Rs. 1,598",(60% off),"Sizes: 6, 7, 8, 9, 10, 11",6; 7; 8; 9; 10; 11
http://www.myntra.com/men-footwear,"San Frissco\nMen Brown Formal Shoes\nRs. 2,495Rs. 1,122(55% off)\nSizes: 6, 7, 9, 10, 11","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/922405/2016/5/6/11462539682104-San-Frissco-Men-Dark-Brown-Leather-Semiformal-Shoes-7341462539681893-1_mini.jpg",San Frissco,Men Brown Formal Shoes,"Rs. 2,495","Rs. 1,122",(55% off),"Sizes: 6, 7, 9, 10, 11",6; 7; 9; 10; 11
http://www.myntra.com/men-footwear,"Mast & Harbour\nMen Black & Teal Green Colourblock Sneakers\nRs. 1,999Rs. 1,199(40% off)\nSizes: 6, 7, 8, 9, 10, 11","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1330388/2016/8/4/11470295880167-Mast--Harbour-Men-Black-Colourblock-Regular-Sneakers-5511470295879894-1_mini.jpg",Mast & Harbour,Men Black & Teal Green Colourblock Sneakers,"Rs. 1,999","Rs. 1,199",(40% off),"Sizes: 6, 7, 8, 9, 10, 11",6; 7; 8; 9; 10; 11
