,Product link,Product link_link,Thumb image,Thumb image_alt,Brand value,Product value,Strike value,Price value,Discount value,Sizes value
,"Mast & Harbour\nGrey Melange Striped Hooded Sweatshirt\nRs. 1,699Rs. 1,019(40% off)\nSizes: S, M, L, XL",http://www.myntra.com/sweatshirts/mast--harbour/mast--harbour-grey-melange-striped-hooded-sweatshirt/1345927/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1345927/2016/9/27/11474973233340-Mast--Harbour-Grey-Melange--Navy-Striped-Hooded-Sweatshirt-1891474973232993-1_mini.jpg",Mast & Harbour Grey Melange Striped Hooded Sweatshirt,Mast & Harbour,Grey Melange Striped Hooded Sweatshirt,"Rs. 1,699","Rs. 1,019",(40% off),"Sizes: S, M, L, XL"
,"Roadster\nTonal Blue Checked Casual Shirt\nRs. 1,299Rs. 909(30% off)\nSizes: 38, 40, 42, 44",http://www.myntra.com/shirts/roadster/roadster-tonal-blue-checked-casual-shirt/1362027/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1362027/2016/8/10/11470816800549-Roadster-Tonal-Blue-Checked-Casual-Shirt-8751470816800337-1_mini.jpg",Roadster Tonal Blue Checked Casual Shirt,Roadster,Tonal Blue Checked Casual Shirt,"Rs. 1,299",Rs. 909,(30% off),"Sizes: 38, 40, 42, 44"
,"Tommy Hilfiger\nRed Jacket\nRs. 11,999Rs. 8,399(30% off)\nSizes: S, L, XL, XXL",http://www.myntra.com/jackets/tommy-hilfiger/tommy-hilfiger-red-jacket/1056800/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1056800/2015/11/9/11447054984247-Tommy-Hilfiger-Red-Jacket-4751447054983735-1_mini.jpg",Tommy Hilfiger Red Jacket,Tommy Hilfiger,Red Jacket,"Rs. 11,999","Rs. 8,399",(30% off),"Sizes: S, L, XL, XXL"
,"Antony Morato\nNavy Hooded Sweatshirt\nRs. 6,999Rs. 4,899(30% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/sweatshirts/antony-morato/antony-morato-navy-hooded-sweatshirt/1456684/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1456684/2016/8/17/11471433724802-Antony-Morato-Men-Sweatshirts-4411471433724588-1_mini.jpg",Antony Morato Navy Hooded Sweatshirt,Antony Morato,Navy Hooded Sweatshirt,"Rs. 6,999","Rs. 4,899",(30% off),"Sizes: S, M, L, XL, XXL"
,"HRX by Hrithik Roshan\nBlack Faux Leather Bomber Jacket\nRs. 3,999Rs. 3,199(20% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/jackets/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-black-faux-leather-bomber-jacket/1352654/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1352654/2016/9/14/11473846655230-HRX-by-Hrithik-Roshan-Black-Padded-Bomber-Jacket-3161473846654996-1_mini.jpg",HRX by Hrithik Roshan Black Faux Leather Bomber Jacket,HRX by Hrithik Roshan,Black Faux Leather Bomber Jacket,"Rs. 3,999","Rs. 3,199",(20% off),"Sizes: S, M, L, XL, XXL"
,"Adidas\nBlack & Navy Basemid TTOP KN Colourblocked Training Sweatshirt\nRs. 2,999Rs. 1,949(35% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/sweatshirts/adidas/adidas-black--navy-basemid-ttop-kn-colourblocked-training-sweatshirt/1488702/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1488702/2016/9/20/11474370582901-Adidas-Black--Navy-Basemid-TTOP-KN-Colourblocked-Training-Sweatshirt--5071474370582749-1_mini.jpg",Adidas Black & Navy Basemid TTOP KN Colourblocked Training Sweatshirt,Adidas,Black & Navy Basemid TTOP KN Colourblocked Training Sweatshirt,"Rs. 2,999","Rs. 1,949",(35% off),"Sizes: S, M, L, XL, XXL"
,"Mast & Harbour\nMen Navy Blue Striped Sweater\nRs. 1,499Rs. 1,049(30% off)\nSizes: S, M, L, XL",http://www.myntra.com/sweaters/mast--harbour/mast--harbour-men-navy-blue-striped-sweater/1285347/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1285347/2016/9/27/11474970689589-Mast--Harbour-Men-Mustard-Striped-Sweater-9351474970689749-1_mini.jpg",Mast & Harbour Men Navy Blue Striped Sweater,Mast & Harbour,Men Navy Blue Striped Sweater,"Rs. 1,499","Rs. 1,049",(30% off),"Sizes: S, M, L, XL"
,"Puma\nMen Blue Colourblocked Sweatshirt\nRs. 2,299Rs. 1,609(30% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/sweatshirts/puma/puma-men-blue-colourblocked-sweatshirt/1455012/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1455012/2016/8/11/11470897791749-Puma-Men-Sweatshirts-8311470897791513-1_mini.jpg",Puma Men Blue Colourblocked Sweatshirt,Puma,Men Blue Colourblocked Sweatshirt,"Rs. 2,299","Rs. 1,609",(30% off),"Sizes: S, M, L, XL, XXL"
,"French Connection\nBlack Casual Shirt\nRs. 2,399Rs. 1,679(30% off)\nSizes: S, L, XL, XS, XXL",http://www.myntra.com/shirts/french-connection/french-connection-black-casual-shirt/895348/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/image/style/properties/895348/French-Connection-Black-Casual-Shirt_1_8083630bc4ebe93e6b9a97bb2be47546_mini.jpg",French Connection Black Casual Shirt,French Connection,Black Casual Shirt,"Rs. 2,399","Rs. 1,679",(30% off),"Sizes: S, L, XL, XS, XXL"
,"Moda Rapido\nBlack Sweatshirt\nRs. 1,049Rs. 629(40% off)\nSizes: S, M, L, XL",http://www.myntra.com/sweatshirts/moda-rapido/moda-rapido-black-sweatshirt/1444765/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1444765/2016/9/8/11473316428016-Moda-Rapido-Black-Printed-Sweatshirt-7891473316427722-1_mini.jpg",Moda Rapido Black Sweatshirt,Moda Rapido,Black Sweatshirt,"Rs. 1,049",Rs. 629,(40% off),"Sizes: S, M, L, XL"
