url,Product link,Thumb image,Brand value,Product value,Strike value,Price value,Discount value,Sizes description
http://www.myntra.com/men-bottomwear,"HIGHLANDER\nBeige Casual Trousers\nRs. 999Rs. 599(40% off)\nSizes: 30, 32, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1380188/2016/6/15/11465972067211-Highlander-Beige-Casual-Trousers-5321465972066984-1_mini.jpg",HIGHLANDER,Beige Casual Trousers,Rs. 999,Rs. 599,(40% off),"Sizes: 30, 32, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"Replay\nBlue Washed Jondrill Fit Jeans\nRs. 12,499\nSizes: 30, 31, 32, 33, 34","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1452406/2016/8/5/11470379374960-Replay-Men-Jeans-5801470379374681-1_mini.jpg",Replay,Blue Washed Jondrill Fit Jeans,,"Rs. 12,499",,"Sizes: 30, 31, 32, 33, 34"
http://www.myntra.com/men-bottomwear,"SUITLTD\nSULTLTD Teal Blue Slim Fit Chino Trousers\nRs. 1,695Rs. 678(60% off)\nSizes: 30, 32, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1354900/2016/6/13/11465811884241-SUITLTD-Men-Trousers-5611465811883956-1_mini.jpg",SUITLTD,SULTLTD Teal Blue Slim Fit Chino Trousers,"Rs. 1,695",Rs. 678,(60% off),"Sizes: 30, 32, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"WROGN\nMen Black Solid Slim Fit Cuffed Trousers\nRs. 1,999Rs. 1,599(20% off)\nSizes: 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1427916/2016/10/19/11476875423535-WROGN-Men-Trousers-1631476875423241-1_mini.jpg",WROGN,Men Black Solid Slim Fit Cuffed Trousers,"Rs. 1,999","Rs. 1,599",(20% off),"Sizes: 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"Roadster\nMen Blue Slim Fit Mid-Rise Mildly Distressed Jeans\nRs. 1,899Rs. 1,329(30% off)\nSizes: 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1472326/2016/9/1/11472726753831-Roadster-Men-Blue-Slim-Fit-Mid-Rise-Mildly-Distressed-Jeans-41472726753594-1_mini.jpg",Roadster,Men Blue Slim Fit Mid-Rise Mildly Distressed Jeans,"Rs. 1,899","Rs. 1,329",(30% off),"Sizes: 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"Lawman pg3\nBlack Slim Fit Jeans\nRs. 2,399Rs. 1,079(55% off)\nSizes: 30, 32, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1431359/2016/8/16/11471330287550-Lawman-pg3-Men-Jeans-3681471330287336-1_mini.jpg",Lawman pg3,Black Slim Fit Jeans,"Rs. 2,399","Rs. 1,079",(55% off),"Sizes: 30, 32, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"LOCOMOTIVE\nBlue Washed Super Slim Fit Jeans\nRs. 3,199Rs. 1,279(60% off)\nSizes: 30, 32, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1422838/2016/7/29/11469790042154-Locomotive-Blue-Washed-Super-Slim-Fit-Jeans-401469790041823-1_mini.jpg",LOCOMOTIVE,Blue Washed Super Slim Fit Jeans,"Rs. 3,199","Rs. 1,279",(60% off),"Sizes: 30, 32, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"Mast & Harbour\nBlack Skinny Differential Length Jeans\nRs. 1,899Rs. 1,519(20% off)\nSizes: 28/31, 30/33, 30/31, 30/29, 32/33, 32/31, 32/29, 34/33, 34/31, 34/29, 36/31, 36/29","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1465608/2016/9/24/11474700024182-Mast--Harbour-Men-Black-Skinny-Fit-Mid-Rise-Clean-Look-Jeans-2461474700023899-1_mini.jpg",Mast & Harbour,Black Skinny Differential Length Jeans,"Rs. 1,899","Rs. 1,519",(20% off),"Sizes: 28/31, 30/33, 30/31, 30/29, 32/33, 32/31, 32/29, 34/33, 34/31, 34/29, 36/31, 36/29"
http://www.myntra.com/men-bottomwear,"U.S. Polo Assn.\nDark Blue Tapered Slim Fit Jeans\nRs. 2,899Rs. 1,884(35% off)\nSizes: 30, 32, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1142169/2016/6/11/11465628824226-US-Polo-Assn-Men-Jeans-4431465628823918-1_mini.jpg",U.S. Polo Assn.,Dark Blue Tapered Slim Fit Jeans,"Rs. 2,899","Rs. 1,884",(35% off),"Sizes: 30, 32, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"WROGN\nMen Blue Slim Fit Mid-Rise Clean Look Jeans\nRs. 2,399Rs. 1,919(20% off)\nSizes: 28, 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1502365/2016/9/16/11474023574672-WROGN-Men-Blue-Slim-Fit-Mid-Rise-Clean-Look-Jeans-3751474023574525-1_mini.jpg",WROGN,Men Blue Slim Fit Mid-Rise Clean Look Jeans,"Rs. 2,399","Rs. 1,919",(20% off),"Sizes: 28, 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"Replay\nMen Blue Slim Fit Mid-Rise Low Distress Jeans\nRs. 17,999Rs. 12,599(30% off)\nSizes: 30, 31, 32, 33, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1565984/2016/10/20/11476958184488-Replay-Men-Jeans-5011476958184228-1_mini.jpg",Replay,Men Blue Slim Fit Mid-Rise Low Distress Jeans,"Rs. 17,999","Rs. 12,599",(30% off),"Sizes: 30, 31, 32, 33, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"Moda Rapido\nMen Blue Skinny Fit Mid-Rise Clean Look Jeans\nRs. 1,499Rs. 1,424(5% off)\nSizes: 28, 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1355423/2016/8/24/11472015464774-Moda-Rapido-Men-Blue-Skinny-Fit-Mid-Rise-Clean-Look-Jeans-9151472015464614-1_mini.jpg",Moda Rapido,Men Blue Skinny Fit Mid-Rise Clean Look Jeans,"Rs. 1,499","Rs. 1,424",(5% off),"Sizes: 28, 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"Roadster\nBlue Slim Fit Jeans\nRs. 1,799Rs. 1,259(30% off)\nSizes: 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1310566/2016/8/17/11471415061209-Roadster-Blue-Slim-Fit-Jeans-5241471415061049-1_mini.jpg",Roadster,Blue Slim Fit Jeans,"Rs. 1,799","Rs. 1,259",(30% off),"Sizes: 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"Jack & Jones\nBlue Washed Boxy Loose Fit Jeans\nRs. 3,995Rs. 2,796(30% off)\nSizes: 28/32, 30/32, 32/34, 34/34, 36/34, 38/34","http://assets.myntassets.com/h_240,q_95,w_180/v1/image/style/properties/922093/Jack--Jones-Blue-Washed-Boxy-Loose-Fit-Jeans_1_260422fdda8d09ad0385ca9db932f2da_mini.jpg",Jack & Jones,Blue Washed Boxy Loose Fit Jeans,"Rs. 3,995","Rs. 2,796",(30% off),"Sizes: 28/32, 30/32, 32/34, 34/34, 36/34, 38/34"
http://www.myntra.com/men-bottomwear,"Mast & Harbour\nBlue Slim Differential Length Mid-Rise Jeans\nRs. 1,699Rs. 1,019(40% off)\nSizes: 28/33, 28/31, 28/29, 30/33, 30/31, 30/29, 32/33, 32/31, 32/29, 34/33, 34/31, 34/29, 36/33, 36/31, 36/29","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1465588/2016/9/20/11474350951407-Mast--Harbour-Men-Blue-Slim-Fit-Mid-Rise-Clean-Look-Jeans-4631474350951215-1_mini.jpg",Mast & Harbour,Blue Slim Differential Length Mid-Rise Jeans,"Rs. 1,699","Rs. 1,019",(40% off),"Sizes: 28/33, 28/31, 28/29, 30/33, 30/31, 30/29, 32/33, 32/31, 32/29, 34/33, 34/31, 34/29, 36/33, 36/31, 36/29"
http://www.myntra.com/men-bottomwear,"Levis\nBlue Low-Rise Slim Jeans 511\nRs. 1,999\nSizes: 28, 30, 32, 34, 36, 38, 40","http://assets.myntassets.com/h_240,q_95,w_180/v1/image/style/properties/900587/Levis-Men-Jeans_1_fc84b541088088c1215aac770b580e62_mini.jpg",Levis,Blue Low-Rise Slim Jeans 511,,"Rs. 1,999",,"Sizes: 28, 30, 32, 34, 36, 38, 40"
